1,3660,1,0,1,2,1,2,0,1,1,1,0
2,2362,1,0,0,1,1,0,0,0,1,0,0
3,12553,5,2,1,6,3,5,1,1,2,1,0
4,15865,7,3,1,5,5,3,0,2,5,1,0
5,2786,2,1,0,1,2,2,0,1,1,1,1
6,2695,2,0,0,0,0,1,0,0,2,0,0
7,3511,1,1,0,3,1,1,0,1,1,0,0
8,5676,2,0,0,4,4,1,0,0,2,1,1
9,20297,6,4,1,11,3,2,0,1,9,1,0
10,2236,2,1,0,1,0,1,0,0,3,0,0
11,7034,4,0,1,2,2,2,0,0,2,1,0
12,8505,3,1,1,7,2,3,0,1,1,1,1
13,3609,1,1,0,2,1,1,0,0,2,0,0
14,2275,1,1,0,0,0,1,0,0,1,0,0
15,9179,5,1,0,3,1,4,0,0,1,1,0
16,5258,2,1,1,7,1,2,0,0,1,1,1
17,3672,1,0,0,0,1,2,0,0,1,0,0
18,6466,4,1,0,8,4,4,0,1,3,1,0
19,7044,2,2,2,6,2,3,0,1,2,2,0
20,5022,1,1,0,2,1,1,0,1,3,1,0
21,2452,2,1,0,2,0,1,0,0,1,0,1
22,2272,1,1,0,1,0,0,0,0,1,0,0
23,2040,1,0,0,2,0,1,0,0,1,0,0
24,2230,2,1,0,0,0,0,0,0,2,0,0
25,17390,4,4,1,12,5,4,0,1,5,1,0
26,23801,13,4,1,13,4,7,1,1,7,2,0
27,2460,1,0,0,3,0,0,0,0,1,1,0
28,7027,3,1,0,2,4,1,0,0,3,1,0
29,19709,10,4,1,12,7,5,1,1,7,2,0
30,2611,1,1,0,1,1,2,0,0,2,0,0
31,3123,1,0,0,1,1,0,0,0,1,0,0
32,14139,4,2,1,4,2,3,1,1,3,1,0
33,2087,1,1,0,1,1,0,0,0,1,0,0
34,2899,1,1,0,2,1,1,0,0,2,0,0
35,21622,7,4,2,14,6,4,3,1,8,1,1
36,8837,5,2,0,1,1,4,0,0,4,0,0
37,2119,1,0,0,2,1,1,0,0,1,1,0
38,2458,1,0,0,0,1,3,0,0,2,0,0
39,10092,4,3,0,7,2,2,0,0,4,1,0
40,2092,1,0,0,2,1,1,0,0,1,0,0
41,10222,5,3,1,7,3,3,1,2,3,1,1
42,8238,2,3,0,3,2,1,0,0,2,1,0
43,6929,2,1,1,7,2,1,0,1,4,0,1
44,18966,9,3,1,19,4,5,2,2,7,1,1
45,5291,1,1,0,5,3,1,0,1,1,1,0
,,,,,,,,,,,,
